url,lastmod,status,title,title_length,description_length,h1,word_count,canonical,robots,json_ld_blocks,internal_links,max_same_family_similarity_pct
https://oiltankroute.com/,2026-04-13,200,Buried Oil Tank Before Closing: Next Steps for Buyers and Sellers | Buried Oil Tank Verdict,91,125,Figure out the next step before closing,1270,https://oiltankroute.com/,,2,31,
https://oiltankroute.com/about/,2026-04-13,200,About Buried Oil Tank Verdict | Buried Oil Tank Verdict,55,111,What this site is for,156,https://oiltankroute.com/about/,,2,11,
https://oiltankroute.com/contact/,2026-04-13,200,Contact Buried Oil Tank Verdict | Buried Oil Tank Verdict,57,86,Contact,147,https://oiltankroute.com/contact/,,2,13,
https://oiltankroute.com/guides/,2026-04-13,200,Buried Oil Tank Guides | Buried Oil Tank Verdict,48,103,"Buried oil tank guides for records, sweep, removal, leak, and cost questions",428,https://oiltankroute.com/guides/,,2,17,
https://oiltankroute.com/guides/abandoned-oil-tank-records/,2026-04-13,200,How to Find Abandoned Oil Tank Records Before Closing | Buried Oil Tank Verdict,79,92,How to Find Abandoned Oil Tank Records Before Closing,1243,https://oiltankroute.com/guides/abandoned-oil-tank-records/,,2,21,
https://oiltankroute.com/guides/buried-oil-tank-home-sale/,2026-04-13,200,Can You Sell a House With a Buried Oil Tank Before Closing? | Buried Oil Tank Verdict,85,93,Can You Sell a House With a Buried Oil Tank Before Closing?,1338,https://oiltankroute.com/guides/buried-oil-tank-home-sale/,,2,21,
https://oiltankroute.com/guides/leaking-heating-oil-tank-what-to-do/,2026-04-13,200,What to Do if a Heating Oil Tank May Be Leaking | Buried Oil Tank Verdict,73,92,What to Do if a Heating Oil Tank May Be Leaking,1250,https://oiltankroute.com/guides/leaking-heating-oil-tank-what-to-do/,,2,21,
https://oiltankroute.com/guides/oil-tank-removal-cost/,2026-04-13,200,Buried Oil Tank Removal Cost: How to Think About the Range | Buried Oil Tank Verdict,84,95,Buried Oil Tank Removal Cost: How to Think About the Range,1228,https://oiltankroute.com/guides/oil-tank-removal-cost/,,2,21,
https://oiltankroute.com/guides/oil-tank-sweep-before-buying-house/,2026-04-13,200,When to Order an Oil Tank Sweep Before Buying a House | Buried Oil Tank Verdict,79,89,When to Order an Oil Tank Sweep Before Buying a House,1297,https://oiltankroute.com/guides/oil-tank-sweep-before-buying-house/,,2,21,
https://oiltankroute.com/guides/remove-vs-abandon-oil-tank/,2026-04-13,200,Remove or Abandon a Buried Oil Tank? | Buried Oil Tank Verdict,62,88,Remove or Abandon a Buried Oil Tank?,1240,https://oiltankroute.com/guides/remove-vs-abandon-oil-tank/,,2,21,
https://oiltankroute.com/methodology/,2026-04-13,200,Methodology for Buried Oil Tank Pages | Buried Oil Tank Verdict,63,118,How we build each page,154,https://oiltankroute.com/methodology/,,2,11,
https://oiltankroute.com/not-government-affiliated/,2026-04-13,200,Not Government Affiliated | Buried Oil Tank Verdict,51,109,Not government affiliated,119,https://oiltankroute.com/not-government-affiliated/,,2,11,
https://oiltankroute.com/privacy/,2026-04-13,200,Privacy | Buried Oil Tank Verdict,33,80,Privacy,114,https://oiltankroute.com/privacy/,,2,11,
https://oiltankroute.com/routes/,2026-04-13,200,Buried Oil Tank Route Guides | Buried Oil Tank Verdict,54,110,"Buried oil tank route guides for disclosure, records, sweep, removal, leak, and cost direction",452,https://oiltankroute.com/routes/,,2,17,
https://oiltankroute.com/states/,2026-04-13,200,Buried Oil Tank State Pages | Buried Oil Tank Verdict,53,103,"Buried oil tank state pages for disclosure, records, and closing steps",352,https://oiltankroute.com/states/,,2,15,
https://oiltankroute.com/states/connecticut/,2026-04-13,200,Connecticut buried oil tank disclosure and next steps | Buried Oil Tank Verdict,79,112,Connecticut buried oil tank next steps before closing,1326,https://oiltankroute.com/states/connecticut/,,2,15,
https://oiltankroute.com/states/connecticut/buyer-seller/,2026-04-13,200,Connecticut buried oil tank disclosure steps for buyers and sellers | Buried Oil Tank Verdict,93,113,Connecticut buried oil tank disclosure steps for buyers and sellers,1252,https://oiltankroute.com/states/connecticut/buyer-seller/,,2,16,74.1
https://oiltankroute.com/states/connecticut/records-and-proof/,2026-04-13,200,Connecticut abandoned oil tank records and proof | Buried Oil Tank Verdict,74,92,Connecticut abandoned oil tank records and proof,1214,https://oiltankroute.com/states/connecticut/records-and-proof/,,2,16,69.9
https://oiltankroute.com/states/connecticut/sweep-and-locate/,2026-04-13,200,Connecticut oil tank sweep and locate steps before closing | Buried Oil Tank Verdict,84,78,Connecticut oil tank sweep and locate steps before closing,1259,https://oiltankroute.com/states/connecticut/sweep-and-locate/,,2,16,74.0
https://oiltankroute.com/states/maine/,2026-04-13,200,Maine buried oil tank disclosure and next steps | Buried Oil Tank Verdict,73,106,Maine buried oil tank next steps before closing,1286,https://oiltankroute.com/states/maine/,,2,15,
https://oiltankroute.com/states/maine/buyer-seller/,2026-04-13,200,Maine buried oil tank disclosure steps for buyers and sellers | Buried Oil Tank Verdict,87,107,Maine buried oil tank disclosure steps for buyers and sellers,1238,https://oiltankroute.com/states/maine/buyer-seller/,,2,16,70.0
https://oiltankroute.com/states/maine/records-and-proof/,2026-04-13,200,Maine abandoned oil tank records and proof | Buried Oil Tank Verdict,68,86,Maine abandoned oil tank records and proof,1182,https://oiltankroute.com/states/maine/records-and-proof/,,2,16,67.0
